[23Apr2025 14:41:22.894] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--gameDir, ., --launchTarget, fmlserver, --fml.forgeVersion, 36.2.42, --fml.mcpVersion, 20210115.111550, --fml.mcVersion, 1.16.5, --fml.forgeGroup, net.minecraftforge, nogui]
[23Apr2025 14:41:22.897] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 8.1.3+8.1.3+main-8.1.x.c94d18ec starting: java version 11.0.26 by Ubuntu
[23Apr2025 14:41:23.148] [main/INFO] [net.minecraftforge.fml.loading.FixSSL/CORE]: Added Lets Encrypt root certificates as additional trust
[23Apr2025 14:41:23.221] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=file:/workspaces/serio/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.4/mixin-0.8.4.jar Service=ModLauncher Env=SERVER
[23Apr2025 14:41:23.260] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Configuration file /workspaces/serio/servidor_minecraft/config/fml.toml is not correct. Correcting
[23Apr2025 14:41:23.265] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [defaultConfigPath] was corrected from null to defaultconfigs
[23Apr2025 14:41:23.268] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: com.electronwill.nightconfig.core.io.ParsingException: Invalid TOML data: entry "[maxThreads]" defined twice in its table.
[23Apr2025 14:41:23.268] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [maxThreads] was corrected from null to -1
[23Apr2025 14:41:23.269] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.toml.TableParser.checkDuplicateKey(TableParser.java:88)
[23Apr2025 14:41:23.269] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.toml.TableParser.parseNormal(TableParser.java:59)
[23Apr2025 14:41:23.270] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.toml.TomlParser.parse(TomlParser.java:44)
[23Apr2025 14:41:23.270] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.toml.TomlParser.parse(TomlParser.java:37)
[23Apr2025 14:41:23.271] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.io.ConfigParser.parse(ConfigParser.java:113)
[23Apr2025 14:41:23.271] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.io.ConfigParser.parse(ConfigParser.java:219)
[23Apr2025 14:41:23.271] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.io.ConfigParser.parse(ConfigParser.java:202)
[23Apr2025 14:41:23.272] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.file.WriteSyncFileConfig.load(WriteSyncFileConfig.java:73)
[23Apr2025 14:41:23.272] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread.run(FileWatcher.java:181)
[23Apr2025 14:41:23.740] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:23.830] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:23.837] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:23.842] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:23.848] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:24.999] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'fmlserver' with arguments [--gameDir, ., nogui]
[23Apr2025 14:41:31.242] [modloading-worker-2/INFO] [Dungeon Crawl/]: Here we go! Launching Dungeon Crawl 2.3.12...
[23Apr2025 14:41:31.390] [modloading-worker-3/INFO] [me.treyruffy.betterf3.BetterF3Forge/]: [BetterF3] Starting...
[23Apr2025 14:41:31.390] [modloading-worker-3/WARN] [me.treyruffy.betterf3.BetterF3Forge/]: [BetterF3] Not supported on dedicated server!
[23Apr2025 14:41:31.424] [modloading-worker-2/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 36.2.42, for MC 1.16.5 with MCP 20210115.111550
[23Apr2025 14:41:31.440] [modloading-worker-2/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v36.2.42 Initialized
[23Apr2025 14:41:31.563] [modloading-worker-3/INFO] [expandability/]: ExpandAbility here, who dis?
[23Apr2025 14:41:32.319] [modloading-worker-2/INFO] [com.refinedmods.refinedstorage.apiimpl.API/]: Found 0 RS API injection points
[23Apr2025 14:41:35.871] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/serio/servidor_minecraft/config/sophisticatedbackpacks-common.toml is not correct. Correcting
[23Apr2025 14:41:35.873] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.873] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.enabledItems was corrected from null to its default, []. 
[23Apr2025 14:41:35.874] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.disallowedItems was corrected from null to its default, []. 
[23Apr2025 14:41:35.874] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.leatherBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.875] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.leatherBackpack.inventorySlotCount was corrected from null to its default, 27. 
[23Apr2025 14:41:35.875] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.leatherBackpack.upgradeSlotCount was corrected from null to its default, 1. 
[23Apr2025 14:41:35.876] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.ironBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.877] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.ironBackpack.inventorySlotCount was corrected from null to its default, 54. 
[23Apr2025 14:41:35.878] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.ironBackpack.upgradeSlotCount was corrected from null to its default, 2. 
[23Apr2025 14:41:35.878] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.goldBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.879] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.goldBackpack.inventorySlotCount was corrected from null to its default, 81. 
[23Apr2025 14:41:35.879] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.goldBackpack.upgradeSlotCount was corrected from null to its default, 3. 
[23Apr2025 14:41:35.880] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.diamondBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.883] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.diamondBackpack.inventorySlotCount was corrected from null to its default, 108. 
[23Apr2025 14:41:35.883] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.diamondBackpack.upgradeSlotCount was corrected from null to its default, 5. 
[23Apr2025 14:41:35.884] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.netheriteBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.884] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.netheriteBackpack.inventorySlotCount was corrected from null to its default, 120. 
[23Apr2025 14:41:35.884] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.netheriteBackpack.upgradeSlotCount was corrected from null to its default, 7. 
[23Apr2025 14:41:35.885] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.compactingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.885] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.compactingUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 14:41:35.885] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.compactingUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 14:41:35.886] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedCompactingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.886] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedCompactingUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 14:41:35.887] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedCompactingUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 14:41:35.888] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.depositUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.888] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.depositUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 14:41:35.888] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.depositUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 14:41:35.889] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedDepositUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.889] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedDepositUpgrade.filterSlots was corrected from null to its default, 16. 
